# time(fs)   RMSD(Ang)   MSD(Ang^2)
2.650000000000000000e+04 4.301767811101794514e+00 1.850520630063152083e+01
2.660000000000000000e+04 4.393536910258187156e+00 1.930316658180105449e+01
2.670000000000000000e+04 4.452335754839525706e+00 1.982329367382245167e+01
2.680000000000000000e+04 4.493924783277817525e+00 2.019535995775857984e+01
2.690000000000000000e+04 4.575817098891956647e+00 2.093810212251200653e+01
2.700000000000000000e+04 4.572510524256577114e+00 2.090785249443716154e+01
2.710000000000000000e+04 4.591805518873124825e+00 2.108467792315368783e+01
2.720000000000000000e+04 4.528483793866842966e+00 2.050716547131463585e+01
2.730000000000000000e+04 4.491846366095979093e+00 2.017668377660965362e+01
2.740000000000000000e+04 4.476136352595294632e+00 2.003579664702510854e+01
2.750000000000000000e+04 4.436583247512887240e+00 1.968327091211200042e+01
2.760000000000000000e+04 4.404645652443130110e+00 1.940090332358617076e+01
2.770000000000000000e+04 4.372501653611766237e+00 1.911877071083763013e+01
2.780000000000000000e+04 4.425577079257241309e+00 1.958573248444705328e+01
2.790000000000000000e+04 4.457914012529122338e+00 1.987299734310350274e+01
2.800000000000000000e+04 4.446247016399603957e+00 1.976911253084237785e+01
2.810000000000000000e+04 4.410679823390809773e+00 1.945409650446678285e+01
2.820000000000000000e+04 4.367058326048797845e+00 1.907119842311212921e+01
2.830000000000000000e+04 4.358679605228141796e+00 1.899808790103174871e+01
2.840000000000000000e+04 4.394165484865683702e+00 1.930869030838486822e+01
2.850000000000000000e+04 4.478063868501829248e+00 2.005305601038156738e+01
2.860000000000000000e+04 4.502074941806300856e+00 2.026867878164020453e+01
2.870000000000000000e+04 4.492888786210431640e+00 2.018604964525544787e+01
2.880000000000000000e+04 4.515137361871745192e+00 2.038646539657014145e+01
2.890000000000000000e+04 4.555625652990881846e+00 2.075372509018860256e+01
2.900000000000000000e+04 4.570696841369516150e+00 2.089126961570527286e+01
2.910000000000000000e+04 4.680868274246330785e+00 2.191052780084581997e+01
2.920000000000000000e+04 4.699817370656852233e+00 2.208828331752788543e+01
2.930000000000000000e+04 4.699892208763090551e+00 2.208898677399200494e+01
2.940000000000000000e+04 4.721578415797020867e+00 2.229330273652030314e+01
2.950000000000000000e+04 4.687521630765808744e+00 2.197285903889735081e+01
2.960000000000000000e+04 4.666000910681286307e+00 2.177156449847859321e+01
2.970000000000000000e+04 4.679576579370692713e+00 2.189843696219471525e+01
2.980000000000000000e+04 4.648636484280256553e+00 2.160982116298150046e+01
2.990000000000000000e+04 4.645699327956235969e+00 2.158252224577302414e+01
3.000000000000000000e+04 4.660958144198744435e+00 2.172453082197260699e+01
3.010000000000000000e+04 4.696560024029083458e+00 2.205767605930806852e+01
3.020000000000000000e+04 4.662990607964854206e+00 2.174348140996843881e+01
3.030000000000000000e+04 4.630046850241856582e+00 2.143733383543453996e+01
3.040000000000000000e+04 4.641453666066678529e+00 2.154309213424381042e+01
3.050000000000000000e+04 4.631072464732463700e+00 2.144683217360321947e+01
3.060000000000000000e+04 4.650022290064701913e+00 2.162270729809857173e+01
3.070000000000000000e+04 4.586573541678400368e+00 2.103665685322434697e+01
3.080000000000000000e+04 4.568178960126540566e+00 2.086825901174280062e+01
3.090000000000000000e+04 4.535759369095997862e+00 2.057311305434212301e+01
3.100000000000000000e+04 4.519397278272022866e+00 2.042495175885256842e+01
3.110000000000000000e+04 4.477355008435154993e+00 2.004670787155937006e+01
3.120000000000000000e+04 4.443676022590739016e+00 1.974625659374784803e+01
3.130000000000000000e+04 4.427964876488023727e+00 1.960687294741159903e+01
3.140000000000000000e+04 4.433842073973396580e+00 1.965895553693670905e+01
3.150000000000000000e+04 4.475054676130249653e+00 2.002611435435521159e+01
3.160000000000000000e+04 4.515211869570319614e+00 2.038713822710870005e+01
3.170000000000000000e+04 4.544161202356573170e+00 2.064940103300273933e+01
3.180000000000000000e+04 4.544112423267020695e+00 2.064895771528967572e+01
3.190000000000000000e+04 4.526197240441270253e+00 2.048646145937816954e+01
3.200000000000000000e+04 4.597379007541595897e+00 2.113589373898414792e+01
3.210000000000000000e+04 4.682689309093700736e+00 2.192757916550043973e+01
3.220000000000000000e+04 4.802129556760787565e+00 2.306044827991555835e+01
3.230000000000000000e+04 4.782439611538530144e+00 2.287172863801280442e+01
3.240000000000000000e+04 4.738037239257136157e+00 2.244899688058738363e+01
3.250000000000000000e+04 4.669737608229060477e+00 2.180644932970886885e+01
3.260000000000000000e+04 4.650786583813129482e+00 2.162981584817619662e+01
3.270000000000000000e+04 4.645834247886634572e+00 2.158377585883636840e+01
3.280000000000000000e+04 4.649756992825718527e+00 2.162024009233166666e+01
3.290000000000000000e+04 4.703424052222741736e+00 2.212219781502739480e+01
3.300000000000000000e+04 4.650509627130660739e+00 2.162723979203495972e+01
3.310000000000000000e+04 4.671184546178265506e+00 2.181996506445464945e+01
3.320000000000000000e+04 4.695735692779132719e+00 2.204993369643992551e+01
3.330000000000000000e+04 4.691149665696221049e+00 2.200688518596176735e+01
3.340000000000000000e+04 4.747416378946006432e+00 2.253796227508480854e+01
3.350000000000000000e+04 4.790838038409999555e+00 2.295212911027617153e+01
3.360000000000000000e+04 4.797264476758221541e+00 2.301374645996633106e+01
3.370000000000000000e+04 4.750639100983342189e+00 2.256857186779181745e+01
3.380000000000000000e+04 4.677486944617566422e+00 2.187888411706777347e+01
3.390000000000000000e+04 4.725713381617644870e+00 2.233236696520007314e+01
3.400000000000000000e+04 4.732723356367189105e+00 2.239867036790350951e+01
3.410000000000000000e+04 4.719612569735729402e+00 2.227474280840749898e+01
3.420000000000000000e+04 4.729126836803399847e+00 2.236464063857413009e+01
3.430000000000000000e+04 4.729651734325394763e+00 2.236960552800721302e+01
3.440000000000000000e+04 4.751399759857394045e+00 2.257579967797289910e+01
3.450000000000000000e+04 4.758437821597091499e+00 2.264273050200567283e+01
3.460000000000000000e+04 4.764235172407161656e+00 2.269793677800149467e+01
3.470000000000000000e+04 4.763590254679920477e+00 2.269179211448151179e+01
3.480000000000000000e+04 4.740311180847290196e+00 2.247055009126583158e+01
3.490000000000000000e+04 4.728514502279192122e+00 2.235884939826463835e+01
3.500000000000000000e+04 4.764925219356933361e+00 2.270451234606371571e+01
3.510000000000000000e+04 4.733900436671475198e+00 2.240981334431838334e+01
3.520000000000000000e+04 4.665764615339895727e+00 2.176935944575784632e+01
3.530000000000000000e+04 4.655907193199076310e+00 2.167747179168289762e+01
3.540000000000000000e+04 4.667954650253228976e+00 2.178980061682074876e+01
3.550000000000000000e+04 4.650540569801688839e+00 2.162752759137141823e+01
3.560000000000000000e+04 4.658646719708445794e+00 2.170298925905026266e+01
3.570000000000000000e+04 4.636127366150704532e+00 2.149367695517146970e+01
3.580000000000000000e+04 4.647466412854725171e+00 2.159894405861276567e+01
3.590000000000000000e+04 4.725518887575117510e+00 2.233052875682917815e+01
3.600000000000000000e+04 4.659949084818697962e+00 2.171512547310262065e+01
3.610000000000000000e+04 4.655719207864793319e+00 2.167572134248118232e+01
3.620000000000000000e+04 4.683066348336389240e+00 2.193111042292072099e+01
3.630000000000000000e+04 4.733758858120648227e+00 2.240847292683569947e+01
3.640000000000000000e+04 4.721599192771329001e+00 2.229349893717886388e+01
3.650000000000000000e+04 4.792045468906990457e+00 2.296369977607201918e+01
3.660000000000000000e+04 4.800614115800676096e+00 2.304589588882470963e+01
3.670000000000000000e+04 4.784750719345375103e+00 2.289383944627608614e+01
3.680000000000000000e+04 4.816751244066859172e+00 2.320109254721963765e+01
3.690000000000000000e+04 4.839701495988371960e+00 2.342271057027208769e+01
3.700000000000000000e+04 4.836414632837549910e+00 2.339090650072516908e+01
3.710000000000000000e+04 4.848917413026391898e+00 2.351200007835055672e+01
3.720000000000000000e+04 4.843763923353181511e+00 2.346204894517780204e+01
3.730000000000000000e+04 4.788634687545561874e+00 2.293102217076458516e+01
3.740000000000000000e+04 4.763798133042518756e+00 2.269377265237939056e+01
3.750000000000000000e+04 4.703024484265823979e+00 2.211843929960381772e+01
3.760000000000000000e+04 4.746363270747790075e+00 2.252796429790366162e+01
3.770000000000000000e+04 4.720833804158987235e+00 2.228627180649021611e+01
3.780000000000000000e+04 4.739697961187010478e+00 2.246473676328030677e+01
3.790000000000000000e+04 4.794357847325353639e+00 2.298586716821019849e+01
3.800000000000000000e+04 4.790426400371504911e+00 2.294818509737629242e+01
3.810000000000000000e+04 4.794082730933459935e+00 2.298322923103442150e+01
3.820000000000000000e+04 4.751962994826778974e+00 2.258115230420309061e+01
3.830000000000000000e+04 4.737906510656475945e+00 2.244775810372102143e+01
3.840000000000000000e+04 4.801545700596522082e+00 2.305484111491694676e+01
3.850000000000000000e+04 4.777725692435384808e+00 2.282666279215717964e+01
3.860000000000000000e+04 4.656558470387222926e+00 2.168353678813499386e+01
3.870000000000000000e+04 4.627081350379984137e+00 2.140988182303426157e+01
3.880000000000000000e+04 4.665158712615819603e+00 2.176370581389528880e+01
3.890000000000000000e+04 4.734153409807906776e+00 2.241220850759582817e+01
3.900000000000000000e+04 4.748385940356396162e+00 2.254716903857429955e+01
